,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR
0,K-markov(k=2)(clean_fake=False),0.5615,0.01533,0.02095,0.01727,0.01954,0.0738,0.03629,0.035
1,K-markov(k=3)(clean_fake=False),0.53855,0.01124,0.01363,0.01046,0.01276,0.03906,0.02193,0.02804
2,K-markov-latest(k=2)(clean_fake=False),0.55108,0.01704,0.01755,0.02381,0.02663,0.05988,0.03828,0.04739
3,K-markov(k=2)(clean_fake=True),0.55461,0.02044,0.01925,0.02071,0.0369,0.06097,0.03658,0.03999
4,K-markov(k=3)(clean_fake=True),0.53879,0.01431,0.01363,0.01787,0.02388,0.03906,0.02791,0.0363
5,K-markov-latest(k=2)(clean_fake=True),0.55096,0.01635,0.01755,0.01486,0.02552,0.05988,0.03098,0.03657
