,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR,filled_with_popular,clean_fake_method
0,(MyMediaLite) BPRMFTrueNo Clean,0.51591,0.00522,0.00507,0.00348,0.00501,0.01042,0.00733,0.0133,True,No Clean
1,(MyMediaLite) ItemAttributeKNN TrueNo Clean,0.5159,0.00551,0.00507,0.004,0.00608,0.01042,0.00784,0.01509,True,No Clean
2,(MyMediaLite) ItemKNNTrueNo Clean,0.55065,0.01043,0.01464,0.01809,0.02559,0.07083,0.03334,0.02879,True,No Clean
3,(MyMediaLite) MostPopularTrueNo Clean,0.53468,0.01159,0.00986,0.01406,0.01912,0.03666,0.02323,0.03259,True,No Clean
4,(MyMediaLite) RandomTrueNo Clean,0.51677,0.00348,0.00449,0.00375,0.00402,0.0151,0.00809,0.01187,True,No Clean
5,(MyMediaLite) UserAttributeKNNTrueNo Clean,0.5169,0.00464,0.00449,0.00525,0.00976,0.0151,0.00948,0.01342,True,No Clean
6,(MyMediaLite) WRMFTrueNo Clean,0.52758,0.00783,0.00884,0.00926,0.01481,0.03045,0.01678,0.01772,True,No Clean
7,(MyMediaLite) ZeroTrueNo Clean,0.51729,0.00464,0.00551,0.00442,0.00611,0.01534,0.00903,0.01371,True,No Clean
8,(MyMediaLite) MultiCoreBPRMF TrueNo Clean,0.5262,0.00986,0.00841,0.00715,0.01195,0.02252,0.01443,0.02336,True,No Clean
9,(MyMediaLite) SoftMarginRankingMFTrueNo Clean,0.51486,0.00464,0.00464,0.0026,0.00464,0.01265,0.00648,0.00983,True,No Clean
10,(MyMediaLite) WeightedBPRMFTrueNo Clean,0.52493,0.00783,0.00681,0.00771,0.01371,0.02634,0.01438,0.0182,True,No Clean
11,(MyMediaLite) MostPopularByAttributesTrueNo Clean,0.52487,0.00754,0.00681,0.00947,0.01753,0.02634,0.01553,0.01665,True,No Clean
12,(MyMediaLite) BPRSLIMTrueNo Clean,0.54159,0.01072,0.01232,0.01427,0.0222,0.05359,0.02695,0.02773,True,No Clean
13,(MyMediaLite) BPRMFTrueRanked 1 Item,0.5205,0.00696,0.0058,0.00764,0.01276,0.01982,0.01257,0.01652,True,Ranked 1 Item
14,(MyMediaLite) ItemAttributeKNN TrueRanked 1 Item,0.52063,0.00667,0.0058,0.00605,0.0088,0.01982,0.01145,0.0167,True,Ranked 1 Item
15,(MyMediaLite) ItemKNNTrueRanked 1 Item,0.53916,0.01362,0.01101,0.01606,0.03448,0.04805,0.02718,0.02852,True,Ranked 1 Item
16,(MyMediaLite) MostPopularTrueRanked 1 Item,0.53183,0.00783,0.00928,0.0095,0.01409,0.03399,0.01815,0.02124,True,Ranked 1 Item
17,(MyMediaLite) RandomTrueRanked 1 Item,0.51561,0.00493,0.00377,0.00732,0.01216,0.01952,0.01138,0.01352,True,Ranked 1 Item
18,(MyMediaLite) UserAttributeKNNTrueRanked 1 Item,0.5155,0.00377,0.00377,0.00481,0.00737,0.01952,0.00919,0.00939,True,Ranked 1 Item
19,(MyMediaLite) WRMFTrueRanked 1 Item,0.52214,0.00667,0.00696,0.00684,0.00805,0.0201,0.01274,0.02081,True,Ranked 1 Item
20,(MyMediaLite) ZeroTrueRanked 1 Item,0.51454,0.00493,0.00362,0.00661,0.00681,0.01174,0.00963,0.01821,True,Ranked 1 Item
21,(MyMediaLite) MultiCoreBPRMF TrueRanked 1 Item,0.52236,0.00493,0.00696,0.00422,0.00584,0.01934,0.01024,0.01512,True,Ranked 1 Item
22,(MyMediaLite) SoftMarginRankingMFTrueRanked 1 Item,0.51216,0.00377,0.00493,0.00254,0.00342,0.00892,0.00596,0.01091,True,Ranked 1 Item
23,(MyMediaLite) WeightedBPRMFTrueRanked 1 Item,0.52187,0.00609,0.00667,0.00476,0.00776,0.02036,0.0108,0.01655,True,Ranked 1 Item
24,(MyMediaLite) MostPopularByAttributesTrueRanked 1 Item,0.52198,0.00754,0.00667,0.00646,0.00975,0.02036,0.01224,0.0179,True,Ranked 1 Item
25,(MyMediaLite) BPRSLIMTrueRanked 1 Item,0.53514,0.00899,0.01029,0.01138,0.01612,0.03795,0.0207,0.02397,True,Ranked 1 Item
26,(MyMediaLite) BPRMFTrueRanked Only 10,0.50911,0.00377,0.00319,0.00239,0.00447,0.00605,0.00467,0.0078,True,Ranked Only 10
27,(MyMediaLite) ItemAttributeKNN TrueRanked Only 10,0.50892,0.00319,0.00319,0.0015,0.00229,0.00605,0.00371,0.00585,True,Ranked Only 10
28,(MyMediaLite) ItemKNNTrueRanked Only 10,0.51445,0.00435,0.00464,0.00407,0.00644,0.01234,0.00757,0.01122,True,Ranked Only 10
29,(MyMediaLite) MostPopularTrueRanked Only 10,0.52943,0.00696,0.00884,0.00646,0.01106,0.03078,0.01475,0.01665,True,Ranked Only 10
30,(MyMediaLite) RandomTrueRanked Only 10,0.52221,0.00464,0.00551,0.00599,0.00745,0.02352,0.01173,0.01267,True,Ranked Only 10
31,(MyMediaLite) UserAttributeKNNTrueRanked Only 10,0.52236,0.00609,0.00551,0.0075,0.01438,0.02352,0.01302,0.01422,True,Ranked Only 10
32,(MyMediaLite) WRMFTrueRanked Only 10,0.51795,0.00551,0.0058,0.00399,0.00505,0.01778,0.00919,0.01261,True,Ranked Only 10
33,(MyMediaLite) ZeroTrueRanked Only 10,0.51725,0.00725,0.0058,0.00819,0.00957,0.01525,0.01238,0.02128,True,Ranked Only 10
34,(MyMediaLite) MultiCoreBPRMF TrueRanked Only 10,0.51693,0.00667,0.0058,0.0059,0.00697,0.01408,0.0102,0.01581,True,Ranked Only 10
35,(MyMediaLite) SoftMarginRankingMFTrueRanked Only 10,0.50982,0.0029,0.0029,0.00331,0.00386,0.00615,0.0053,0.0077,True,Ranked Only 10
36,(MyMediaLite) WeightedBPRMFTrueRanked Only 10,0.51836,0.00551,0.0058,0.00372,0.00759,0.01674,0.00874,0.01138,True,Ranked Only 10
37,(MyMediaLite) MostPopularByAttributesTrueRanked Only 10,0.51849,0.00638,0.0058,0.00432,0.00938,0.01674,0.00927,0.01171,True,Ranked Only 10
38,(MyMediaLite) BPRSLIMTrueRanked Only 10,0.51685,0.00551,0.00522,0.0042,0.00651,0.01424,0.00856,0.01291,True,Ranked Only 10
39,(MyMediaLite) BPRMFFalseNo Clean,0.51697,0.00377,0.00522,0.0046,0.0062,0.01698,0.00888,0.00977,False,No Clean
40,(MyMediaLite) ItemAttributeKNN FalseNo Clean,0.51723,0.00551,0.00522,0.00662,0.00869,0.01698,0.01125,0.01865,False,No Clean
41,(MyMediaLite) ItemKNNFalseNo Clean,0.55131,0.01768,0.01464,0.03534,0.04622,0.07083,0.04803,0.05308,False,No Clean
42,(MyMediaLite) MostPopularFalseNo Clean,0.53436,0.00957,0.00986,0.00798,0.01458,0.03666,0.01783,0.01992,False,No Clean
43,(MyMediaLite) RandomFalseNo Clean,0.52127,0.00551,0.00507,0.00769,0.01445,0.02051,0.01245,0.0153,False,No Clean
44,(MyMediaLite) UserAttributeKNNFalseNo Clean,0.52139,0.00638,0.00507,0.00671,0.01086,0.02051,0.01184,0.01586,False,No Clean
45,(MyMediaLite) WRMFFalseNo Clean,0.52949,0.00667,0.00855,0.01013,0.01024,0.03065,0.01748,0.01932,False,No Clean
46,(MyMediaLite) ZeroFalseNo Clean,0.51726,0.00638,0.00551,0.00554,0.01173,0.01534,0.00986,0.01216,False,No Clean
47,(MyMediaLite) MultiCoreBPRMF FalseNo Clean,0.52593,0.00899,0.00696,0.00759,0.01853,0.02382,0.01418,0.01899,False,No Clean
48,(MyMediaLite) SoftMarginRankingMFFalseNo Clean,0.51689,0.00377,0.00507,0.00269,0.00322,0.01207,0.00684,0.01151,False,No Clean
49,(MyMediaLite) WeightedBPRMFFalseNo Clean,0.52436,0.00667,0.00667,0.00759,0.01294,0.02642,0.01404,0.01671,False,No Clean
50,(MyMediaLite) MostPopularByAttributesFalseNo Clean,0.52446,0.00812,0.00667,0.01267,0.01678,0.02642,0.01833,0.02431,False,No Clean
51,(MyMediaLite) BPRSLIMFalseNo Clean,0.53873,0.01304,0.01101,0.01641,0.03264,0.04935,0.0273,0.02884,False,No Clean
