,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR,filled_with_popular,clean_fake_method
0,K-markov(k=1)TrueNo Clean,0.52177,0.00667,0.0071,0.00731,0.00891,0.01681,0.01248,0.01907,True,No Clean
1,K-markov(k=2)TrueNo Clean,0.55271,0.0171,0.01783,0.02294,0.02499,0.06279,0.03868,0.04928,True,No Clean
2,K-markov(k=3)TrueNo Clean,0.53292,0.01043,0.01159,0.01312,0.01691,0.03323,0.0221,0.02937,True,No Clean
3,K-markov-latest(k=2)TrueNo Clean,0.51974,0.00464,0.00638,0.00461,0.0059,0.0161,0.0094,0.01187,True,No Clean
4,K-markov(k=1)TrueRanked 1 Item,0.51668,0.00638,0.00536,0.00446,0.00529,0.01043,0.00854,0.01696,True,Ranked 1 Item
5,K-markov(k=2)TrueRanked 1 Item,0.54631,0.01478,0.01638,0.01426,0.02313,0.05187,0.02836,0.03032,True,Ranked 1 Item
6,K-markov(k=3)TrueRanked 1 Item,0.53315,0.01594,0.01159,0.01054,0.02506,0.03323,0.02035,0.02554,True,Ranked 1 Item
7,K-markov-latest(k=2)TrueRanked 1 Item,0.51982,0.00725,0.00638,0.00587,0.01076,0.0161,0.01084,0.01613,True,Ranked 1 Item
8,K-markov(k=1)TrueRanked Only 10,0.51416,0.00377,0.00464,0.00235,0.00319,0.00973,0.00568,0.00741,True,Ranked Only 10
9,K-markov(k=2)TrueRanked Only 10,0.52893,0.01246,0.01145,0.01143,0.01743,0.02736,0.01923,0.0235,True,Ranked Only 10
10,K-markov(k=3)TrueRanked Only 10,0.5254,0.01072,0.00986,0.00927,0.01331,0.02353,0.01654,0.02376,True,Ranked Only 10
11,K-markov-latest(k=2)TrueRanked Only 10,0.51514,0.00667,0.00522,0.00462,0.00736,0.01131,0.00853,0.01354,True,Ranked Only 10
12,K-markov(k=1)FalseNo Clean,0.52174,0.00493,0.0071,0.00489,0.00635,0.01681,0.0102,0.01375,False,No Clean
13,K-markov(k=2)FalseNo Clean,0.55252,0.0142,0.01783,0.01989,0.02382,0.06279,0.03593,0.04122,False,No Clean
14,K-markov(k=3)FalseNo Clean,0.53308,0.01391,0.01159,0.01716,0.02486,0.03323,0.02588,0.03667,False,No Clean
15,K-markov-latest(k=2)FalseNo Clean,0.5197,0.00493,0.00638,0.00366,0.00616,0.0161,0.00871,0.01042,False,No Clean
16,K-markov(k=1)FalseRanked 1 Item,0.51665,0.00638,0.00536,0.00298,0.00556,0.01043,0.00707,0.01198,False,Ranked 1 Item
17,K-markov(k=2)FalseRanked 1 Item,0.54635,0.01449,0.01638,0.01929,0.0246,0.05187,0.03247,0.03831,False,Ranked 1 Item
18,K-markov(k=3)FalseRanked 1 Item,0.53292,0.01304,0.01159,0.00865,0.0199,0.03323,0.01828,0.01963,False,Ranked 1 Item
19,K-markov-latest(k=2)FalseRanked 1 Item,0.52002,0.00841,0.00638,0.00531,0.01142,0.0161,0.0106,0.01665,False,Ranked 1 Item
20,K-markov(k=1)FalseRanked Only 10,0.5142,0.00348,0.00464,0.0023,0.00271,0.00973,0.00573,0.00921,False,Ranked Only 10
21,K-markov(k=2)FalseRanked Only 10,0.529,0.01304,0.01145,0.01035,0.01565,0.02736,0.01859,0.025,False,Ranked Only 10
22,K-markov(k=3)FalseRanked Only 10,0.52537,0.01246,0.00986,0.009,0.01473,0.02353,0.01638,0.02382,False,Ranked Only 10
23,K-markov-latest(k=2)FalseRanked Only 10,0.51508,0.00435,0.00522,0.00332,0.00461,0.01131,0.00737,0.01254,False,Ranked Only 10
