,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR,filled_with_popular,clean_fake_method
0,(MyMediaLite) ItemKNNTrueNo Clean,0.55138,0.02145,0.01464,0.0319,0.06025,0.07083,0.04573,0.05071,True,No Clean
1,(MyMediaLite) ItemKNNTrueRanked 1 Item,0.53904,0.01362,0.01101,0.015,0.032,0.04805,0.02665,0.03145,True,Ranked 1 Item
2,(MyMediaLite) ItemKNNTrueRanked Only 10,0.55133,0.02,0.01464,0.02851,0.05028,0.07083,0.04283,0.04525,True,Ranked Only 10
3,(MyMediaLite) ItemKNNFalseNo Clean,0.55081,0.01507,0.01464,0.02252,0.0324,0.07083,0.03728,0.03672,False,No Clean
4,(MyMediaLite) ItemKNNFalseRanked 1 Item,0.53929,0.01449,0.01101,0.02964,0.03628,0.04805,0.03806,0.04764,False,Ranked 1 Item
5,(MyMediaLite) ItemKNNFalseRanked Only 10,0.55136,0.01942,0.01464,0.04091,0.05244,0.07083,0.05226,0.05758,False,Ranked Only 10
