,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR,filled_with_popular,clean_fake_method
0,(MyMediaLite) UserKNNTrueNo Clean,0.73592,0.21497,0.20884,0.02814,0.03068,0.04897,0.06832,0.31255,True,No Clean
1,(MyMediaLite) BPRMFTrueNo Clean,0.75255,0.22721,0.21769,0.02482,0.02147,0.05025,0.06552,0.29468,True,No Clean
2,(MyMediaLite) ItemAttributeKNN TrueNo Clean,0.75253,0.19728,0.21769,0.02439,0.02025,0.05025,0.06423,0.27507,True,No Clean
3,(MyMediaLite) ItemKNNTrueNo Clean,0.75941,0.21361,0.22177,0.0231,0.02061,0.0461,0.06329,0.26094,True,No Clean
4,(MyMediaLite) MostPopularTrueNo Clean,0.71588,0.22177,0.20612,0.02528,0.02158,0.0453,0.06287,0.27482,True,No Clean
5,(MyMediaLite) RandomTrueNo Clean,0.53218,0.00544,0.0068,0.00008,0.00008,0.00054,0.00087,0.01382,True,No Clean
6,(MyMediaLite) UserAttributeKNNTrueNo Clean,0.53219,0.00816,0.0068,0.00017,0.00043,0.00054,0.00115,0.01691,True,No Clean
7,(MyMediaLite) WRMFTrueNo Clean,0.77621,0.23401,0.23129,0.02704,0.02494,0.05217,0.07225,0.33441,True,No Clean
8,(MyMediaLite) ZeroTrueNo Clean,0.6588,0.08027,0.07959,0.00953,0.00879,0.01729,0.02969,0.22669,True,No Clean
9,(MyMediaLite) MultiCoreBPRMF TrueNo Clean,0.74258,0.21633,0.21088,0.02346,0.0196,0.04257,0.06184,0.28948,True,No Clean
10,(MyMediaLite) SoftMarginRankingMFTrueNo Clean,0.71213,0.20816,0.19796,0.02027,0.01933,0.03365,0.05224,0.22589,True,No Clean
11,(MyMediaLite) WeightedBPRMFTrueNo Clean,0.71902,0.17551,0.19932,0.0199,0.01459,0.03497,0.05407,0.26601,True,No Clean
12,(MyMediaLite) MostPopularByAttributesTrueNo Clean,0.71905,0.19728,0.19932,0.02137,0.0173,0.03497,0.0562,0.2879,True,No Clean
13,(MyMediaLite) BPRSLIMTrueNo Clean,0.75925,0.22041,0.21769,0.02207,0.0182,0.04156,0.05979,0.25324,True,No Clean
