,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR,filled_with_popular,clean_fake_method
0,K-markov(k=1)TrueNo Clean,0.52177,0.00609,0.0071,0.00413,0.00751,0.01681,0.00987,0.01558,True,No Clean
1,K-markov(k=1)TrueRanked 1 Item,0.51646,0.00464,0.00536,0.00267,0.00409,0.01043,0.00655,0.00982,True,Ranked 1 Item
2,K-markov(k=1)TrueRanked Only 10,0.51439,0.00435,0.00464,0.00202,0.0031,0.00973,0.00563,0.00889,True,Ranked Only 10
3,K-markov(k=1)FalseNo Clean,0.52185,0.0058,0.0071,0.00551,0.00756,0.01681,0.0109,0.01462,False,No Clean
4,K-markov(k=1)FalseRanked 1 Item,0.5165,0.00493,0.00536,0.00282,0.00554,0.01043,0.00666,0.00941,False,Ranked 1 Item
5,K-markov(k=1)FalseRanked Only 10,0.51436,0.00435,0.00464,0.00241,0.00401,0.00973,0.006,0.01011,False,Ranked Only 10
