,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR,filled_with_popular,clean_fake_method
,K-markov(k=2)TrueNo Clean,0.78979,0.2068,0.23605,0.03124,0.02853,0.06386,0.07965,0.31702,TRUE,No Clean
4,(MyMediaLite) MostPopularTrueNo Clean,0.71586,0.21224,0.20612,0.02595,0.02853,0.0453,0.06346,0.27395,TRUE,No Clean
,K-markov(k=2)TrueRanked Only 10,0.66025,0.07075,0.0619,0.0145,0.02779,0.03575,0.03725,0.13244,TRUE,Ranked Only 10
,K-markov(k=2)TrueNo Clean,0.66025,0.06939,0.0619,0.01013,0.0103,0.03575,0.03252,0.12865,TRUE,No Clean
,K-markov(k=2)TrueRanked 1 Item,0.66023,0.05578,0.0619,0.01016,0.01775,0.03575,0.03119,0.11545,TRUE,Ranked 1 Item
8,(MyMediaLite) ZeroTrueNo Clean,0.65874,0.07755,0.07959,0.00717,0.0076,0.01729,0.02444,0.14839,TRUE,No Clean
7,(MyMediaLite) WRMFTrueNo Clean,0.6433,0.05578,0.05578,0.0087,0.01352,0.02357,0.02627,0.11229,TRUE,No Clean
,K-markov(k=2)FalseRanked 1 Item,0.63764,0.06259,0.05714,0.01223,0.01936,0.03524,0.03401,0.11624,FALSE,Ranked 1 Item
,K-markov(k=2)FalseNo Clean,0.63762,0.05034,0.05714,0.00947,0.01192,0.03524,0.03016,0.10862,FALSE,No Clean
,K-markov(k=2)FalseRanked Only 10,0.63762,0.04762,0.05714,0.00821,0.01066,0.03524,0.0282,0.08939,FALSE,Ranked Only 10
3,(MyMediaLite) ItemKNNTrueNo Clean,0.62984,0.05306,0.04762,0.00534,0.00871,0.01799,0.01999,0.09834,TRUE,No Clean
9,(MyMediaLite) MultiCoreBPRMF TrueNo Clean,0.62648,0.0517,0.0483,0.00811,0.00957,0.0316,0.02563,0.12936,TRUE,No Clean
12,(MyMediaLite) MostPopularByAttributesTrueNo Clean,0.61632,0.03673,0.03605,0.00395,0.00551,0.0163,0.01458,0.0741,TRUE,No Clean
11,(MyMediaLite) WeightedBPRMFTrueNo Clean,0.6163,0.02721,0.03605,0.00616,0.01058,0.0163,0.01611,0.06895,TRUE,No Clean
0,(MyMediaLite) UserKNNTrueNo Clean,0.60632,0.03537,0.03469,0.00618,0.01153,0.02085,0.01776,0.06594,TRUE,No Clean
13,(MyMediaLite) BPRSLIMTrueNo Clean,0.60614,0.03537,0.03878,0.00587,0.01096,0.01512,0.01721,0.07131,TRUE,No Clean
1,(MyMediaLite) BPRMFTrueNo Clean,0.60611,0.04626,0.03946,0.00556,0.00515,0.01836,0.01852,0.12346,TRUE,No Clean
2,(MyMediaLite) ItemAttributeKNN TrueNo Clean,0.6061,0.04762,0.03946,0.00737,0.01349,0.01836,0.01991,0.09923,TRUE,No Clean
10,(MyMediaLite) SoftMarginRankingMFTrueNo Clean,0.59956,0.03265,0.02789,0.01076,0.01258,0.01864,0.01998,0.07509,TRUE,No Clean
15,(Surprise) SVD++TrueNo Clean,0.586,0.02857,0.02381,0.00556,0.00614,0.00948,0.01467,0.10127,TRUE,No Clean
26,(Surprise) BaselineOnlyTrueNo Clean,0.56614,0.02313,0.01973,0.00245,0.0026,0.00837,0.00916,0.05675,TRUE,No Clean
14,(Surprise) SVD (base model)TrueNo Clean,0.55936,0.01633,0.01429,0.00174,0.00194,0.00393,0.0067,0.06889,TRUE,No Clean
16,(Surprise) NMFTrueNo Clean,0.53573,0.00544,0.00748,0.00035,0.00018,0.00238,0.00202,0.01906,TRUE,No Clean
27,(Surprise) NormalPredictorTrueNo Clean,0.53239,0.01361,0.0068,0.00084,0.00126,0.00126,0.00263,0.02687,TRUE,No Clean
24,(Surprise) KNNWithZScoreTrueNo Clean,0.52595,0.00272,0.00544,0.00014,0.00012,0.00062,0.00103,0.01156,TRUE,No Clean
20,(Surprise) KNNBasic pearson userTrueNo Clean,0.52591,0,0.00544,0.00007,0,0.00058,0.00074,0.00636,TRUE,No Clean
6,(MyMediaLite) UserAttributeKNNTrueNo Clean,0.52278,0.00816,0.00612,0.00024,0.00059,0.00071,0.00139,0.01451,TRUE,No Clean
5,(MyMediaLite) RandomTrueNo Clean,0.52277,0.00544,0.00612,0.00024,0.00026,0.00071,0.00139,0.01542,TRUE,No Clean
18,(Surprise) KNNBaselineTrueNo Clean,0.52262,0.00952,0.00476,0.0005,0.00051,0.00051,0.00202,0.04218,TRUE,No Clean
17,(Surprise) SlopeOneTrueNo Clean,0.52262,0.00816,0.00476,0.0005,0.0005,0.00051,0.00202,0.04179,TRUE,No Clean
19,(Surprise) KNNBasic cosine userTrueNo Clean,0.52262,0.00816,0.00476,0.0005,0.0005,0.00051,0.00202,0.04179,TRUE,No Clean
22,(Surprise) KNNBasic pearson itemTrueNo Clean,0.5226,0.00136,0.00476,0.00009,0.00001,0.00051,0.00075,0.0085,TRUE,No Clean
21,(Surprise) KNNBasic cosine itemTrueNo Clean,0.52259,0,0.00476,0.00007,0,0.00051,0.00069,0.00659,TRUE,No Clean
23,(Surprise) KNNWithMeansTrueNo Clean,0.52259,0,0.00476,0.00008,0,0.00051,0.00074,0.00765,TRUE,No Clean
25,(Surprise) CoClusteringTrueNo Clean,0.52259,0,0.00476,0.00007,0,0.00051,0.00069,0.00659,TRUE,No Clean
