,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR,filled_with_popular,clean_fake_method
0,(Surprise) BaselineOnlyTrueNo Clean,0.5453,0.01536,0.01435,0.01533,0.02259,0.04831,0.02834,0.03791,True,No Clean
1,(Surprise) NormalPredictorTrueNo Clean,0.51162,0.00348,0.00304,0.00207,0.00451,0.00849,0.00483,0.00832,True,No Clean
2,(Surprise) BaselineOnlyTrueRanked 1 Item,0.53916,0.00928,0.01203,0.011,0.01536,0.03914,0.02215,0.02842,True,Ranked 1 Item
3,(Surprise) NormalPredictorTrueRanked 1 Item,0.50904,0.00377,0.0029,0.00259,0.00443,0.00672,0.00474,0.00773,True,Ranked 1 Item
4,(Surprise) BaselineOnlyTrueRanked Only 10,0.53239,0.0142,0.01101,0.01086,0.01925,0.02853,0.02029,0.03213,True,Ranked Only 10
5,(Surprise) NormalPredictorTrueRanked Only 10,0.50913,0.00261,0.00275,0.00224,0.00258,0.00408,0.00382,0.00733,True,Ranked Only 10
6,(Surprise) BaselineOnlyFalseNo Clean,0.54553,0.01652,0.01435,0.01447,0.02401,0.04831,0.02735,0.03189,False,No Clean
7,(Surprise) NormalPredictorFalseNo Clean,0.5086,0.00377,0.00348,0.00172,0.0042,0.00573,0.0039,0.00775,False,No Clean
8,(Surprise) BaselineOnlyFalseRanked 1 Item,0.53936,0.0113,0.01203,0.01048,0.0165,0.03914,0.02147,0.02605,False,Ranked 1 Item
9,(Surprise) NormalPredictorFalseRanked 1 Item,0.50981,0.00348,0.00319,0.00154,0.003,0.0058,0.00371,0.00582,False,Ranked 1 Item
10,(Surprise) BaselineOnlyFalseRanked Only 10,0.53216,0.01072,0.01101,0.00824,0.01213,0.02853,0.01771,0.0269,False,Ranked Only 10
11,(Surprise) NormalPredictorFalseRanked Only 10,0.50593,0.00116,0.00188,0.00038,0.00085,0.00197,0.00141,0.00263,False,Ranked Only 10
