,Unnamed: 0,room_link,user_id,user_name,rating,aprox_review_date
76,76,https://www.room.run/he/rooms/card-of-jack,1356241304447327,,10,2018-08-15
77,77,https://www.room.run/he/rooms/card-of-jack,102348320686044,,10,2018-08-15
78,78,https://www.room.run/he/rooms/card-of-jack,108970573074052,,10,2018-08-15
79,79,https://www.room.run/he/rooms/card-of-jack,,,5,2018-08-15
80,80,https://www.room.run/he/rooms/card-of-jack,465869973852745,,10,2018-08-15
81,81,https://www.room.run/he/rooms/card-of-jack,1635866170040945,,10,2018-08-15
82,82,https://www.room.run/he/rooms/card-of-jack,,,10,2018-08-15
83,83,https://www.room.run/he/rooms/card-of-jack,1908488089182596,,10,2018-08-15
84,84,https://www.room.run/he/rooms/card-of-jack,2211773122181226,,10,2018-07-16
85,85,https://www.room.run/he/rooms/card-of-jack,10154057467352092,,9,2018-07-16
86,86,https://www.room.run/he/rooms/card-of-jack,2201309373219240,,10,2018-07-16
87,87,https://www.room.run/he/rooms/card-of-jack,10214917737111356,,10,2018-07-16
88,88,https://www.room.run/he/rooms/card-of-jack,1941846452493744,,10,2018-07-16
89,89,https://www.room.run/he/rooms/card-of-jack,1130974940250770,,10,2018-07-16
90,90,https://www.room.run/he/rooms/card-of-jack,1599317953451991,,10,2018-07-16
91,91,https://www.room.run/he/rooms/card-of-jack,1375369412557362,,10,2018-07-16
92,92,https://www.room.run/he/rooms/card-of-jack,,,10,2018-07-16
93,93,https://www.room.run/he/rooms/card-of-jack,2421028284577334,,10,2018-07-16
94,94,https://www.room.run/he/rooms/card-of-jack,2157843600896781,,10,2018-07-16
95,95,https://www.room.run/he/rooms/card-of-jack,10216794578405704,,10,2018-07-16
96,96,https://www.room.run/he/rooms/card-of-jack,1491980447596977,,10,2018-07-16
97,97,https://www.room.run/he/rooms/card-of-jack,10213601256206141,,10,2018-06-16
98,98,https://www.room.run/he/rooms/card-of-jack,1773485982675354,,10,2018-06-16
99,99,https://www.room.run/he/rooms/card-of-jack,1529900407135962,,10,2018-06-16
100,100,https://www.room.run/he/rooms/card-of-jack,1615169325177801,,10,2018-06-16
101,101,https://www.room.run/he/rooms/card-of-jack,1819549388072690,,10,2018-06-16
102,102,https://www.room.run/he/rooms/card-of-jack,10156122824916549,,10,2018-06-16
103,103,https://www.room.run/he/rooms/card-of-jack,10154680828571242,,10,2018-06-16
104,104,https://www.room.run/he/rooms/card-of-jack,,,10,2018-06-16
105,105,https://www.room.run/he/rooms/card-of-jack,1821810924537242,,10,2018-06-16
106,106,https://www.room.run/he/rooms/card-of-jack,,,10,2018-06-16
107,107,https://www.room.run/he/rooms/card-of-jack,10156235383154631,,10,2018-06-16
108,108,https://www.room.run/he/rooms/card-of-jack,10214820301768686,,10,2018-06-16
109,109,https://www.room.run/he/rooms/card-of-jack,,,10,2018-06-16
110,110,https://www.room.run/he/rooms/card-of-jack,10215482260144912,,10,2018-06-16
111,111,https://www.room.run/he/rooms/card-of-jack,111779062766616,,10,2018-06-16
112,112,https://www.room.run/he/rooms/card-of-jack,,,10,2018-06-16
113,113,https://www.room.run/he/rooms/card-of-jack,10214004914970524,,10,2018-06-16
114,114,https://www.room.run/he/rooms/card-of-jack,10155588398402965,,10,2018-06-16
115,115,https://www.room.run/he/rooms/card-of-jack,,,10,2018-06-16
116,116,https://www.room.run/he/rooms/card-of-jack,1457414821007743,,10,2018-06-16
117,117,https://www.room.run/he/rooms/card-of-jack,1809991639058721,,10,2018-06-16
118,118,https://www.room.run/he/rooms/card-of-jack,1797912406933920,,10,2018-06-16
119,119,https://www.room.run/he/rooms/card-of-jack,10154260550414835,,10,2018-06-16
120,120,https://www.room.run/he/rooms/card-of-jack,10155114438595772,,10,2018-06-16
121,121,https://www.room.run/he/rooms/card-of-jack,10209948793971065,,10,2018-06-16
122,122,https://www.room.run/he/rooms/card-of-jack,1675474512538447,,10,2018-06-16
123,123,https://www.room.run/he/rooms/card-of-jack,10153764233493460,,9,2018-06-16
124,124,https://www.room.run/he/rooms/card-of-jack,10208907490857629,,8,2018-06-16
125,125,https://www.room.run/he/rooms/card-of-jack,1538283489797330,,10,2018-06-16
126,126,https://www.room.run/he/rooms/card-of-jack,2079786818728008,,10,2018-06-16
127,127,https://www.room.run/he/rooms/card-of-jack,808516689336111,,10,2018-06-16
128,128,https://www.room.run/he/rooms/card-of-jack,1626193904066348,,10,2018-05-17
129,129,https://www.room.run/he/rooms/card-of-jack,1946966705315751,,10,2018-05-17
130,130,https://www.room.run/he/rooms/card-of-jack,10206876268318812,,10,2018-05-17
